id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
112004,Alt-Hohenschönhausen Nord,16854.0,6.14677,12.43622,30.23256,1.75845,-0.800519999999999,-1.19383
112005,Alt-Hohenschönhausen Süd,33216.0,4.99837,10.78697,27.23188,1.21931,-0.16315,0.702529999999999
113006,Fennpfuhl,33751.0,5.79187,11.31226,32.16143,0.98922,-1.67002,-4.08443999999999
113007,Alt-Lichtenberg,31403.0,4.03854,8.74439,18.02311,0.51446,-1.27931,-3.71491
113008,Frankfurter Allee Süd,9956.0,5.3996,12.26396,33.35938,1.20095,-1.75825,-3.93966
114009,Neu-Lichtenberg,34067.0,4.60188,9.04688,19.5225,0.504280000000001,-1.57692,-1.82679
114010,Friedrichsfelde Nord,15775.0,6.6763,13.1664,35.06371,1.0779,-1.82604,-3.06287
114011,Friedrichsfelde Süd,27002.0,5.95549,11.71765,36.17424,1.25262,-0.11618,0.220819999999996
115012,Rummelsburger Bucht,4244.0,3.078,6.55042,10.10638,0.41227,-1.75129,-1.58331
115013,Karlshorst,28238.0,1.98463,3.60153,5.54095,0.35,-0.43441,-0.67623
121001,Ost 1 - Reginhardstraße,28673.0,7.95292,19.95606,47.12476,1.6459,-1.91434,-1.79839
121002,Ost 2 - Alt-Reinickendorf,27587.0,6.70499,16.05104,40,1.07304,-1.99565,-5.00584
122003,West 4 - Auguste-Viktoria-Allee,27319.0,8.97283,20.6889,51.90955,1.66526,-2.71653,-1.81847
122004,West 1 - Tegel-Süd/Flughafensee,16267.0,5.46919,13.81939,32.20339,0.634320000000001,-0.48959,-0.258589999999998
122005,West 5 - Tegel,10959.0,3.21597,6.84369,18.36735,0.60009,-0.589180000000001,-0.993730000000003
124006,West 2 - Heiligensee/Konradshöhe,24376.0,1.20339,2.83886,4.9678,0.29487,-0.06826,-0.24118
124007,Nord 1 - Frohnau/Hermsdorf,33415.0,1.28027,2.72333,4.73002,0.14258,0.0523599999999997,-0.16044
125008,West 3 - Borsigwalde/Freie Scholle,16415.0,4.08086,8.03533,17.96307,0.79368,-1.15547,-4.13063
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,31761.0,3.91988,7.75479,19.73582,0.73046,-1.03167,-0.906849999999999
126010,Rollbergesiedlung,9232.0,8.33333,23.66768,56.82103,1.18285,-1.65748,-1.25542
126011,MV Nord,26332.0,10.01588,25.18229,52.86023,2.32158,-3.6497,-5.65207
126012,MV Süd,13787.0,8.03926,23.25379,47.76453,1.52544,-2.19306,-4.30869
