id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
093011,Grünau,7217,2.04082,27.24719,1.2926,29.58904,15.61591,9.22821,0.51458,59.90991,23.04147,0,56.80848,26.85567,4.93855,10.04508
093012,Schmöckwitz,4442,1.00671,23.72881,0.8489,18.82022,10.73841,4.84016,0.12361,57.67442,12.29947,78.34309,72.82197,14.39916,0.38484,1.61337
094013,Köpenick Süd,12049,1.7316,30.30907,1.46982,15.77896,7.76828,3.85924,0.74286,55.91398,25.80645,6.73915,71.66566,13.43955,0.66298,1.0624
094014,Allende-Viertel,11382,2.8536,33.19104,1.31772,23.80026,11.88719,6.69478,-0.31432,75.32808,28.82273,0,69.02906,16.41606,0.63525,-1.40713
094015,Altstadt Köpenick,7337,5.12465,39.89247,5.46956,31.22831,20.45795,13.26155,0.85145,63.20658,40.12539,0,58.54191,27.00271,1.5967,0.55285
094016,Müggelheim,6867,0,20.558,0.84541,15.77465,8.752,3.82991,0.6915,64.63878,16.20553,32.6489,75.80475,13.85423,1.03192,6.24625
095017,Friedrichshagen,19009,2.49622,32.34555,1.04568,16.78416,9.36925,4.96607,0.35286,68.64407,28.73051,0.78384,67.75012,19.58458,0.74969,2.47154
095018,Rahnsdorf,9856,1.63934,27.16175,1.07362,20.11349,10.36932,5.48904,0.47691,71.90388,26.52259,42.30925,72.75427,18.94674,2.39611,7.6004
095019,Dammvorstadt,11733,2.50272,28.7069,1.95567,22.8588,15.61408,10.24461,2.964,60.23295,25.06416,0,58.22854,24.4355,1.97364,-7.15208
095020,Köpenick Nord,13294,1.13052,30.67591,1.12389,18.17661,9.73371,5.40093,1.25365,58.21727,18.10345,0.04513,70.11746,17.70637,1.87331,2.76873
101001,Marzahn Nord,24322,4.27487,44.78442,11.05169,41.23194,27.64164,14.67807,1.95448,73.2493,36.3742,100,71.49205,17.64827,0.36026,0.9609
101002,Marzahn Mitte,48144,4.74118,40.31532,4.32825,42.89316,25.68752,14.68927,1.29953,71.29525,36.31236,24.6282,69.72074,21.05403,-0.19669,-1.28499
101003,Marzahn Süd,39042,3.57804,32.41862,3.01967,43.73134,24.8143,12.49424,2.40898,75.23575,28.07684,44.92854,70.98514,17.56078,1.0551,0.28648
102004,Hellersdorf Nord,37487,5.84333,45.16332,9.66682,45.22451,31.06677,21.30072,4.47546,61.34001,39.74195,34.70536,62.33033,24.192,1.6502,-0.55084
102005,Hellersdorf Ost,21403,4.0806,42.83588,5.45455,40.73252,24.73018,16.87147,3.60567,66.62974,37.99888,24.96379,65.19196,20.62377,1.53258,3.32051
102006,Hellersdorf Süd,25213,4.27632,44.80591,4.66957,31.03698,18.52219,10.54218,2.8703,71.29421,40.67731,0.74168,70.24472,16.49815,1.13996,2.4011
103007,Biesdorf,28955,1.6087,22.01465,1.53307,26.76464,17.43395,9.49404,0.49433,73.48127,14.81619,9.6909,67.80943,26.65714,3.20258,8.14128
104008,Kaulsdorf,19408,0.9299,23.35577,0.59046,15.51835,8.96538,4.08079,0.33866,61.36364,15.89674,29.69909,77.78017,12.75077,0.18309,6.06258
