id,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
080207,6.45386,1.86303,12.30143,33.51368,-0.57771,-0.26266,0.69739,0.80368,2.93324,29.27209,3.80901,48.23757,24.96698,10.53439,1.40506,63.40224,39.0625,15.46696,1.87213,38.88816,84.58216,67.51507,19.60588,0.80475,5.00136
080308,10.31912,3.43812,23.28745,56.91772,-0.89885,-0.09118,0.87308,-0.23989,5.02984,31.77843,6.41513,76.292,43.48983,17.05424,1.04674,74.09551,53.53756,24.07545,1.64685,35.16594,99.26233,69.84633,16.97769,0.69537,0.46729
080409,5.16723,1.71651,10.77366,28.26511,-0.79559,-0.17756,0.76936,-0.16722,3.49887,24.9047,3.17695,55.38707,26.81159,10.66709,1.26392,70.32967,28.77778,4.77196,1.91667,39.81959,90.88875,68.65176,16.83471,0.93131,3.00377
080410,4.5225,1.31672,7.13332,19.05855,-0.38497,-0.06656,-0.154,-0.86062,2.58488,25.36712,2.24646,40.37248,21.02982,7.97198,0.86571,60.03526,24.11805,6.90783,1.91897,41.11498,52.75611,71.58279,17.09584,1.11821,6.54406
090101,9.19349,3.43271,12.60416,26.70991,-1.1416,-0.34782,-0.32009,-2.82542,3.52021,27.38956,3.7325,39.1029,24.97149,14.6303,0.85529,52.33813,29.23547,12.96206,1.62486,35.62082,70.99377,54.58454,29.45151,0.87484,-0.56766
090102,8.73606,3.11696,8.31055,20.05186,0.48818,0.09908,-1.09234,-2.67958,4.17827,35.68376,2.19625,23.59209,10.38819,5.62238,1.29816,49.59481,24.95868,25.26905,1.95006,37.55057,0.0,64.7987,19.85641,0.68093,-3.86578
090103,7.19295,2.35569,8.01836,23.87387,-0.59215,-0.31667,-0.66803,-1.01223,3.84088,32.74524,1.49505,24.37469,11.32204,5.94435,1.0284,60.0572,23.1943,8.9999,1.95863,38.26752,16.52406,63.99882,20.94327,1.08154,-4.33054
090104,6.04915,2.21688,7.06098,17.16719,-0.52032,-0.20437,-0.00566,-0.19094,3.4386,30.14006,1.93124,16.30686,7.81443,3.57354,0.70987,56.4759,20.67851,21.55028,1.86728,38.39632,12.28136,68.19129,17.14215,0.71947,0.26205
090205,10.70728,4.23689,14.76352,34.02256,-0.85449,-0.18253,-0.75399,-4.33142,4.58185,41.54895,4.71634,23.30161,13.93841,8.84043,2.07875,51.66667,32.55682,31.68797,1.77796,35.59648,53.90698,49.59083,30.34973,1.5982,-4.27966
090206,7.98606,2.50871,10.27504,30.46815,-0.36743,-0.49399,0.26561,0.16247,3.83858,34.714,1.71333,22.67287,13.17266,9.41956,1.91956,51.5625,29.3,19.64193,1.80195,35.44982,60.64759,59.26931,28.73434,1.03088,-0.27331
090207,7.68673,2.85533,8.67291,21.06361,-0.76833,-0.25002,-0.01098,-0.55801,3.12085,35.94352,2.20504,20.30041,10.29072,7.33487,3.57271,64.42786,20.28986,16.72765,1.89296,38.59062,11.30641,59.09294,26.52779,2.68403,1.65104
090208,10.24123,3.84786,15.79466,43.60504,-0.63232,-0.32135,-0.30926,-1.36742,4.95169,45.24648,2.65534,14.00233,8.86787,5.08424,1.4045,45.93023,27.51004,37.62994,1.97714,37.01527,37.00857,57.40469,23.86948,0.78744,-2.68035
090309,6.80545,2.57962,9.4704,22.77203,-0.35464,-0.03527,-0.17555,-1.39203,3.87566,28.88817,2.5778,17.07884,10.11409,3.74653,0.29544,49.79424,28.20796,18.73585,1.76819,37.68393,29.50971,67.00142,17.61461,-0.03823,2.64813
