id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
05040934,Alt-Gatow,3984.0,2.11794,0.62292,2.15863,3.33863,-0.48776,-0.1637,-0.30182,-0.91137
05040935,Groß-Glienicker Weg,418.0,9.319,2.50896,6.9378,0,-0.54016,-0.30794,-2.67259,0
05040936,Jägerallee,9324.0,2.73176,0.66972,1.48005,2.76609,-0.10389,0.20676,-1.0585,-2.13931
05040937,Kladower Damm,2148.0,1.83406,0.69869,1.25698,1.63265,-0.49927,-0.21798,-0.60003,-2.39961
05040938,Kafkastraße,3565.0,3.11436,0.72993,2.58065,9.5672,0.23528,-0.03783,0.8633,2.91531
06010101,Fichtenberg,6820.0,3.40426,1.15144,3.26979,6.77749,-0.55041,-0.12659,0.00365,0.86616
06010102,Schloßstraße,8755.0,5.92474,2.16173,7.9269,18.56867,0.45814,0.46352,-0.564,-1.20241
06010103,Markelstraße,6334.0,6.0483,2.03114,6.473,15.01877,0.10211,-0.22976,-0.88679,-2.46195
06010204,Munsterdamm,6830.0,7.68882,2.83511,10.11713,24.93976,0.06014,0.10074,-1.07458,-0.93846
06010205,Südende,9627.0,7.11582,2.27101,8.90205,21.04363,-0.00713,-0.48526,-0.07218,-0.42931
06010206,Stadtpark,7638.0,6.48052,2.45885,8.07803,20.76566,-0.12903,-0.02993,-0.21793,0.54774
06010207,Mittelstraße,7863.0,6.65403,2.21801,8.30472,21.86813,0.02524,-0.5282,-0.78735,-0.72646
06010208,Bergstraße,6433.0,6.62811,2.00178,8.51858,17.59657,-0.66309,-0.69376,-1.17506,-2.99167
06010209,Feuerbachstraße,9055.0,6.53355,2.22045,8.62507,20.96774,-0.36301,-0.16929,-0.33644,-1.22957
06010210,Bismarckstraße,4887.0,7.32224,2.5416,9.26949,22.22222,-0.76758,-0.71893,-1.60507,-2.59259
06020301,Alt-Lankwitz,4985.0,7.13798,2.62978,9.24774,18.62069,0.3151,-0.23032,0.3575,-0.402
06020302,Komponistenviertel Lankwitz,5391.0,5.43663,1.83486,5.39789,14.98195,0.15043,0.15136,-0.13379,0.43976
06020303,Lankwitz Kirche,7249.0,8.9267,3.38164,11.6016,30.96085,0.82596,-0.16505,-0.80542,-2.59265
06020304,Kaiser-Wilhelm-Straße,6887.0,7.93195,2.87229,10.38188,26.98413,-0.25007,0.24705,-0.85474,-0.99292
06020305,Gemeindepark Lankwitz,11139.0,8.16239,2.89772,12.61334,32.99689,-0.53947,-0.35478,-0.90338,-2.95724
06020306,Lankwitz Süd,6415.0,4.72921,1.62726,5.36243,14.53567,0.28201,-0.0125,-0.45586,0.97184
06020407,Thermometersiedlung,4824.0,11.62475,4.2828,20.33582,60.57234,0.08753,-0.52708,-0.5716,-0.94186
